From SkillID,To KnowledgeID,Score
Skill_4704,Know_303,1.88
Skill_117,Know_94,1.28
Skill_117,Know_256,1.28
Skill_117,Know_192,4.02
Skill_117,Know_43,1.28
Skill_117,Know_158,1.28
Skill_148,Know_107,1.79
Skill_148,Know_42,1.79
Skill_149,Know_250,3.88
Skill_149,Know_208,3.88
Skill_3745,Know_218,1.24
Skill_3745,Know_234,1.42
Skill_3745,Know_201,1.24
Skill_171,Know_163,1.48
Skill_1507,Know_221,1.3
Skill_631,Know_303,1.88
Skill_2152,Know_238,1.48
Skill_260,Know_68,1.68
Skill_1267,Know_163,1.17
Skill_6157,Know_265,1.29
Skill_6157,Know_303,2.06
Skill_956,Know_183,1.3
Skill_1868,Know_100,1.79
Skill_1868,Know_103,1.79
Skill_1868,Know_131,1.79
Skill_1868,Know_170,1.79
Skill_3672,Know_169,1.17
Skill_5207,Know_79,1.3
Skill_4128,Know_196,2.67
Skill_4128,Know_240,2.67
Skill_3883,Know_226,1.82
Skill_4659,Know_26,1.17
Skill_4659,Know_115,1.17
Skill_2510,Know_183,1.5
Skill_4135,Know_31,2.47
Skill_4135,Know_268,2.47
Skill_1809,Know_28,1.76
Skill_3870,Know_254,1.89
Skill_3870,Know_189,1.89
Skill_3870,Know_56,1.89
Skill_3870,Know_57,1.89
Skill_2547,Know_90,1.17
Skill_2547,Know_179,1.17
Skill_5536,Know_120,1.17
Skill_1573,Know_88,6.23
Skill_2474,Know_28,1.76
Skill_3731,Know_353,1.47
Skill_18,Know_166,3.9
Skill_557,Know_33,6.23
Skill_3838,Know_352,1.62
Skill_3838,Know_154,1.62
Skill_3838,Know_121,1.62
Skill_5269,Know_28,3.12
Skill_3365,Know_20,3.9
Skill_3961,Know_300,3.9
Skill_119,Know_304,1.48
Skill_5474,Know_52,1.1
Skill_1658,Know_300,1.3
Skill_5542,Know_297,1.43
Skill_5542,Know_298,1.43
Skill_5542,Know_299,1.43
Skill_5542,Know_46,1.43
Skill_5542,Know_313,1.24
Skill_5542,Know_300,1.43
Skill_5542,Know_305,1.43
Skill_5319,Know_163,1.24
Skill_5319,Know_239,1.14
Skill_3221,Know_135,1.54
Skill_3702,Know_278,3.12
Skill_4601,Know_88,1.18
Skill_2570,Know_191,1.3
Skill_5769,Know_302,1.3
Skill_6312,Know_88,2.09
Skill_3425,Know_163,1.17
Skill_1727,Know_329,1.22
Skill_1859,Know_154,1.62
Skill_1859,Know_352,1.62
Skill_1859,Know_121,1.62
Skill_307,Know_166,1.3
Skill_5013,Know_265,1.17
Skill_1449,Know_287,1.3
,Know_130,1.3
Skill_2940,Know_300,1.3
Skill_5252,Know_88,2.09
Skill_703,Know_6,1.45
Skill_703,Know_7,1.45
Skill_703,Know_70,1.45
Skill_703,Know_41,1.45
Skill_703,Know_28,1.45
Skill_703,Know_96,1.45
Skill_703,Know_2,1.45
Skill_357,Know_351,1.3
Skill_4037,Know_305,4.12
Skill_1099,Know_56,1.55
Skill_5762,Know_70,1.45
Skill_5762,Know_96,1.45
Skill_5762,Know_28,1.45
Skill_5762,Know_6,1.45
Skill_5762,Know_2,1.45
Skill_5762,Know_41,1.45
Skill_5762,Know_7,1.45
Skill_6119,Know_222,1.3
Skill_2861,Know_246,1.3
Skill_4452,Know_303,2.36
Skill_976,Know_31,1.32
Skill_976,Know_268,1.32
Skill_976,Know_115,1.32
Skill_976,Know_55,1.32
Skill_1525,Know_300,1.3
Skill_1782,Know_16,1.37
Skill_1782,Know_57,1.7
Skill_1782,Know_18,1.37
Skill_1782,Know_56,1.7
Skill_1782,Know_189,1.7
Skill_1782,Know_254,1.7
Skill_1598,Know_210,3.6
Skill_1914,Know_300,1.3
Skill_4094,Know_179,1.12
Skill_4094,Know_197,1.12
Skill_4094,Know_226,1.12
Skill_4094,Know_163,1.35
Skill_6207,Know_74,2.58
Skill_3038,Know_26,1.17
