From QuestionID,To KnowledgeID
Ques_278,Know_1
Ques_279,Know_1
Ques_279,Know_1
Ques_279,Know_1
Ques_279,Know_1
Ques_280,Know_1
Ques_280,Know_1
Ques_280,Know_1
Ques_280,Know_1
Ques_281,Know_1
Ques_281,Know_1
Ques_281,Know_1
Ques_281,Know_1
Ques_282,Know_1
Ques_282,Know_1
Ques_282,Know_1
Ques_282,Know_1
Ques_283,Know_1
Ques_283,Know_1
Ques_283,Know_1
Ques_283,Know_1
Ques_284,Know_1
Ques_284,Know_1
Ques_284,Know_1
Ques_284,Know_1
Ques_285,Know_1
Ques_285,Know_1
Ques_285,Know_1
Ques_285,Know_1
Ques_286,Know_1
Ques_286,Know_1
Ques_286,Know_1
Ques_286,Know_1
Ques_287,Know_1
Ques_287,Know_1
Ques_287,Know_1
Ques_287,Know_1
Ques_288,Know_16
Ques_289,Know_16
Ques_290,Know_16
Ques_291,Know_16
Ques_292,Know_16
Ques_293,Know_16
Ques_294,Know_234
Ques_295,Know_234
Ques_296,Know_234
Ques_297,Know_234
Ques_298,Know_234
Ques_299,Know_234
Ques_300,Know_90
Ques_300,Know_90
Ques_301,Know_90
Ques_301,Know_90
Ques_302,Know_90
Ques_302,Know_90
Ques_303,Know_90
Ques_303,Know_90
Ques_304,Know_90
Ques_304,Know_90
Ques_305,Know_90
Ques_305,Know_90
Ques_306,Know_18
Ques_307,Know_18
Ques_308,Know_18
Ques_309,Know_18
Ques_310,Know_18
Ques_311,Know_18
Ques_312,Know_177
Ques_313,Know_177
Ques_314,Know_177
Ques_315,Know_177
Ques_316,Know_177
Ques_317,Know_177
Ques_318,Know_318
Ques_319,Know_300
Ques_320,Know_300
Ques_321,Know_300
Ques_322,Know_300
Ques_323,Know_300
Ques_324,Know_300
Ques_325,Know_166
Ques_326,Know_166
Ques_327,Know_166
Ques_328,Know_166
Ques_329,Know_166
Ques_330,Know_166
Ques_331,Know_302
Ques_332,Know_302
Ques_333,Know_302
Ques_334,Know_302
Ques_335,Know_302
Ques_336,Know_302
