CourseID,Course Name
STAT-S420,INTRODUCTION TO STATISTICAL THEORY
STAT-S425,NONPARAMETRIC THEORY AND DATA ANALYSIS
STAT-S426,BAYESIAN THEORY AND DATA ANALYSIS
STAT-S431,APPLIED LINEAR MODELS I
STAT-S440,MULTIVARIATE DATA ANALYSIS
STAT-S450,TIME SERIES ANALYSIS
STAT-S470,EXPLORATORY DATA ANALYSIS
STAT-S475,STATISTICAL LEARNING AND HIGH DIMENSIONAL DATA ANALYSIS
STAT-S481,TOPICS IN APPLIED STATISTICS
STAT-S520,INTRODUCTION TO STATISTICS
STAT-S610,INTRODUCTION TO STATISTICAL COMPUTING
STAT-S611,APPLIED STATISTICAL COMPUTING
STAT-S620,INTRODUCTION TO STATISTICAL THEORY
STAT-S625,NONPARAMETRIC THEORY AND DATA ANALYSIS
STAT-S626,BAYESIAN THEORY AND DATA ANALYSIS
STAT-S631,APPLIED LINEAR MODELS I
STAT-S640,MULTIVARIATE DATA ANALYSIS
STAT-S650,TIME SERIES ANALYSIS
STAT-S670,EXPLORATORY DATA ANALYSIS
STAT-S675,STATISTICAL LEARNING: HIGHDIMENSIONAL DATA ANALYSIS
STAT-S681,TOPICS IN APPLIED STATISTICS
STAT-S690,STATISTICAL CONSULTING
STAT-S710,STATISTICAL COMPUTING
STAT-S721,ADVANCED STATISTICAL THEORY I
STAT-S771,ADVANCED DATA ANALYSIS I
STAT-S772,ADVANCED DATA ANALYSIS II
STAT-X498,STATISTICAL CONSULTING
